iso3c,rgn_id,rgn_nam,governance,gapfilled
ABW,250,Aruba,0.7184785403597931,gapfilled
AGO,200,Angola,0.3303871296853113,gapfilled
AIA,118,Anguilla,0.6659849239107688,gapfilled
ANI,26,Andaman and Nicobar,0.4487224173145713,gapfilled
ARE,54,United Arab Emirates,0.6734990770193985,gapfilled
ARG,172,Argentina,0.48230204801163457,NA
ASM,151,American Samoa,0.6845067214582218,gapfilled
ATG,120,Antigua and Barbuda,0.6813504056486136,gapfilled
AUS,16,Australia,0.8811600875554174,NA
AZO,55,Azores,0.7063377518516224,gapfilled
BEL,59,Belgium,0.8243688359573157,NA
BEN,99,Benin,0.4924399185719004,NA
BGD,204,Bangladesh,0.3379842520618162,NA
BGR,71,Bulgaria,0.5847464749918295,NA
BHR,52,Bahrain,0.5753129087588105,NA
BHS,110,Bahamas,0.7790360818067269,NA
BLZ,164,Belize,0.5435433307372433,NA
BMU,108,Bermuda,0.7763653294991211,gapfilled
BON,245,Bonaire,0.6372025216898032,gapfilled
BRA,171,Brazil,0.5457874718874776,NA
BRB,124,Barbados,0.7977446031637627,NA
BRN,247,Brunei,0.6359407884373696,NA
CAN,218,Canada,0.8849158500339551,NA
CCK,1,Cocos Islands,0.8956179456900585,gapfilled
CHL,224,Chile,0.7926839919538006,NA
CHN,209,China,0.411389893914124,NA
CIV,195,Ivory Coast,0.2799081362273805,NA
CNY,58,Canary Islands,0.7063377518516224,gapfilled
COD,199,Democratic Republic of the Congo,0.12188563718025153,gapfilled
COG,100,Republique du Congo,0.2948498923667453,NA
COK,153,Cook Islands,0.727909528353658,gapfilled
COL,132,Colombia,0.4331290068878002,NA
COM,28,Comoro Islands,0.333873382735663,NA
CPV,56,Cape Verde,0.6374876972742322,NA
CRI,130,Costa Rica,0.6656521171731817,NA
CUB,112,Cuba,0.3932486933783922,NA
CUW,244,Curacao,0.6851541347005173,gapfilled
CXR,2,Christmas Island,0.8997124606070462,gapfilled
CYM,113,Cayman Islands,0.7855659549010163,gapfilled
CYP,81,Cyprus,0.7597052279271194,NA
DEU,176,Germany,0.8578635059970866,NA
DIS,255,Disputed,0.318110633798206,NA
DJI,46,Djibouti,0.3849015351204328,NA
DMA,123,Dominica,0.5868671972524357,gapfilled
DNK,175,Denmark,0.9338707882822197,NA
DOM,115,Dominican Republic,0.4595786194201135,NA
DZA,84,Algeria,0.3607999129150649,NA
ECU,137,Ecuador,0.38051207778085,NA
EGY,214,Egypt,0.4221960338627553,NA
ERI,45,Eritrea,0.2889753310241799,NA
ESH,63,Western Sahara,0.2321411250803409,gapfilled
ESP,182,Spain,0.7604529285878122,NA
EST,70,Estonia,0.7529132180537802,NA
FIN,174,Finland,0.9415406292165505,NA
FJI,18,Fiji,0.48124192353302,NA
FLK,95,Falkland Islands,0.9283113781549124,gapfilled
FRA,179,France,0.8048637667576131,NA
FRO,141,Faeroe Islands,0.9062488631187933,gapfilled
FSM,9,Micronesia,0.532909056534856,gapfilled
GAB,198,Gabon,0.429786490162454,NA
GBR,180,United Kingdom,0.8548405660935763,NA
GEO,74,Georgia,0.4528691464925799,NA
GGY,228,Guernsey,0.8961918378779177,gapfilled
GHA,106,Ghana,0.5369269390290345,NA
GIN,194,Guinea,0.2768614100513413,NA
GMB,65,Gambia,0.4392751715137877,NA
GMF,140,Guadeloupe and Martinique,0.6372025216898032,gapfilled
GNB,193,Guinea Bissau,0.3253435951889696,NA
GNQ,104,Equatorial Guinea,0.25972513597158103,NA
GRC,80,Greece,0.6835076185833774,NA
GRD,125,Grenada,0.637394169194496,NA
GRL,145,Greenland,0.8527002983706338,gapfilled
GTM,136,Guatemala,0.4089920372507078,NA
GUF,169,French Guiana,0.5108425123254008,gapfilled
GUY,167,Guyana,0.4645089911575145,NA
HND,133,Honduras,0.412422444159308,NA
HRV,187,Croatia,0.6123954671249593,NA
HTI,114,Haiti,0.2708354647110757,NA
IDN,216,Indonesia,0.398667057540583,NA
IND,203,India,0.4910765386392177,NA
IRL,181,Ireland,0.8627569266139925,NA
IRN,191,Iran,0.3320432564683974,NA
ISL,143,Iceland,0.9041737892697274,NA
ISR,79,Israel,0.665846477991233,NA
ITA,184,Italy,0.6817299346493576,NA
JAM,166,Jamaica,0.5384341683736397,NA
JPN,210,Japan,0.7859640217945899,NA
KEN,43,Kenya,0.3868857619844124,NA
KHM,24,Cambodia,0.352967741083484,NA
KIR,212,Kiribati,0.4752242117835459,gapfilled
KNA,119,Saint Kitts and Nevis,0.6641041391956086,gapfilled
KOR,20,South Korea,0.6904259090370293,NA
KWT,51,Kuwait,0.5852189283175832,NA
LBN,78,Lebanon,0.4210162318060146,NA
LBR,97,Liberia,0.2842314267973103,NA
LBY,67,Libya,0.31630239345051503,NA
LCA,122,Saint Lucia,0.7026972349518684,NA
LIG,148,Line Group,0.5640919963593013,gapfilled
LKA,40,Sri Lanka,0.4666328468192792,NA
LTU,189,Lithuania,0.6851763541937315,NA
LVA,69,Latvia,0.6704837644344315,NA
MAR,62,Morocco,0.4710021796133781,NA
MDG,42,Madagascar,0.4676800955953607,NA
MDR,57,Madeira,0.7063377518516224,gapfilled
MDV,39,Maldives,0.5085008477927224,NA
MEX,135,Mexico,0.5219899922872736,NA
MHL,11,Marshall Islands,0.5358039049013719,gapfilled
MLT,68,Malta,0.793459412817516,NA
MMR,205,Myanmar,0.3506190406479819,gapfilled
MNE,186,Montenegro,0.6351747763119252,gapfilled
MOZ,41,Mozambique,0.4661790812015304,NA
MRT,64,Mauritania,0.4185443126680456,NA
MSR,121,Montserrat,0.636796483177785,gapfilled
MUS,37,Mauritius,0.6930102327657612,NA
MYS,206,Malaysia,0.6053820417050627,NA
MYT,29,Mayotte,0.41784762954829285,gapfilled
NAM,101,Namibia,0.5985020077711485,NA
NCL,5,New Caledonia,0.4645046265336222,gapfilled
NFK,3,Norfolk Island,0.8895997770927704,gapfilled
NGA,196,Nigeria,0.2953339079701788,NA
NGM,13,Northern Mariana Islands and Guam,0.5640919963593013,gapfilled
NIC,131,Nicaragua,0.4277166850423018,NA
NIU,154,Niue,0.5979738505524081,gapfilled
NLD,177,Netherlands,0.900000969277087,NA
NOR,223,Norway,0.8990952945533078,NA
NRU,10,Nauru,0.5897914457739639,gapfilled
NZL,162,New Zealand,0.9119994575050002,NA
OMN,48,Oman,0.5969121737303128,NA
PAK,53,Pakistan,0.3259978649620719,NA
PAN,129,Panama,0.5610997320382854,NA
PCN,146,Pitcairn,0.6190661653286798,gapfilled
PER,138,Peru,0.4694628365007585,NA
PHG,157,Phoenix Group,0.5640919963593013,gapfilled
PHL,15,Philippines,0.4403166452226897,NA
PLW,8,Palau,0.6867313628027697,gapfilled
PNG,17,Papua New Guinea,0.3934365233725057,NA
POL,178,Poland,0.6748832890180817,NA
PRK,21,North Korea,0.6625888741676454,gapfilled
PRT,183,Portugal,0.7776441248864099,NA
PRV,116,Puerto Rico and Virgin Islands of the United States,0.6372025216898032,gapfilled
PYF,147,French Polynesia,0.6190661653286798,gapfilled
QAT,190,Qatar,0.6895044450091656,gapfilled
REU,32,Reunion,0.41784762954829285,gapfilled
ROU,72,Romania,0.5147271596471068,gapfilled
RUS,73,Russia,0.3804197938160304,NA
SAB,248,Saba,0.6372025216898032,gapfilled
SAU,50,Saudi Arabia,0.4536959644386076,NA
SDN,49,Sudan,0.2152321970560988,NA
SEN,66,Senegal,0.4956531020730783,NA
SHN,86,Saint Helena,0.7349426357196858,gapfilled
SLB,7,Solomon Islands,0.4115002920070448,NA
SLE,96,Sierra Leone,0.3505135848417793,NA
SLV,134,El Salvador,0.4972023724749862,NA
SOM,44,Somalia,0.07723113516617167,NA
SPM,219,Saint Pierre and Miquelon,0.8182075093055419,gapfilled
STP,103,Sao Tome and Principe,0.4883370601774223,NA
SUR,168,Suriname,0.5329109098592919,NA
SWE,222,Sweden,0.9132268753758378,NA
SYC,31,Seychelles,0.6323882843190554,gapfilled
SYR,77,Syria,0.3350669236532791,NA
TCA,111,Turks and Caicos Islands,0.6705777190642256,gapfilled
TGO,98,Togo,0.3359539810102895,NA
THA,25,Thailand,0.5172164922739168,NA
TKL,156,Tokelau,0.6050195417816894,gapfilled
TLS,231,East Timor,0.32537967875329177,gapfilled
TON,155,Tonga,0.4841975475319434,NA
TTO,126,Trinidad and Tobago,0.5878289424785624,NA
TUN,61,Tunisia,0.5054611008897488,NA
TUR,76,Turkey,0.5206797406573193,NA
TUV,19,Tuvalu,0.5273208944727349,gapfilled
TWN,14,Taiwan,0.7625756719248389,gapfilled
TZA,202,Tanzania,0.4473514555703635,NA
UKR,75,Ukraine,0.4161928280754138,NA
URY,173,Uruguay,0.697004533774866,NA
USA,163,United States,0.8206975698115438,NA
VCT,127,Saint Vincent and the Grenadines,0.6927212205849788,NA
VEN,139,Venezuela,0.3101232554400152,NA
VGB,117,British Virgin Islands,0.6504889297123654,gapfilled
VNM,207,Vietnam,0.4120122701667648,NA
VUT,6,Vanuatu,0.5718397672219186,NA
WLF,161,Wallis and Futuna,0.6866471112972846,gapfilled
WSM,152,Samoa,0.6389541271814994,NA
YEM,47,Yemen,0.3057707352993828,NA
ZAF,102,South Africa,0.6168561277979464,NA
