region_name,iso3c,population,gdp_current_USD
Cocos Islands,CCK,0,0
Christmas Island,CXR,1692,52000000
Norfolk Island,NFK,2188,60209320
Palau,PLW,18024,300000000
Nauru,NRU,10834,132000000
Marshall Islands,MHL,42050,259500000
Taiwan,TWN,23894394,1.685E+12
Tuvalu,TUV,11900,39000000
Seychelles,SYC,100060,4175000000
British Indian Ocean Territory,IOT,0,0
Western Sahara,ESH,565581,908900000
Saint Helena,SHN,4439,39000000
South Georgia and the South Sandwich Islands,SGS,0,0
Heard and McDonald Islands,HMD,0,0
Falkland Islands,FLK,2840,206400000
Bouvet Island,BVT,0,0
Bermuda,BMU,63867,7484000000
Turks and Caicos Islands,TCA,44542,924583000
Cayman Islands,CYM,81546,4780000000
British Virgin Islands,VGB,30000,500000000
Anguilla,AIA,15753,311000000
Saint Kitts and Nevis,KNA,54338,1758000000
Antigua and Barbuda,ATG,100772,2454000000
Montserrat,MSR,4390,63000000
Dominica,DMA,72412,688000000
Faeroe Islands,FRO,54738,3126000000
Greenland,GRL,56583,1800000000
Pitcairn,PCN,0,0
American Samoa,ASM,44620,709000000
Cook Islands,COK,15040,384000000
Niue,NIU,1620,10000000
Tokelau,TKL,1500,10000000
Wallis and Futuna,WLF,11558,188000000
Kiribati,KIR,121388,297000000
Saint Pierre and Miquelon,SPM,6000,161000000
Jersey,JEY,103267,4570000000
Guernsey,GGY,63950,3272000000
Curacao,CUW,148925,5500000000
North Korea,PRK,,1E+11
Mayotte,MYT,,2989000000
Reunion,REU,,4800000000
Grenada,GRD,,2130000000
French Guianna,GUF,,1256000000