rgn_id,ant_typ,rgn_nam,iso3c,iso3c_made_up,uninhabited
82,eez,Albania,ALB,,
84,eez,Algeria,DZA,,
151,eez,American Samoa,ASM,,
92,eez,Amsterdam Island and Saint Paul Island,ASP,yes,x
26,eez,Andaman and Nicobar,ANI,yes,
200,eez,Angola,AGO,,
118,eez,Anguilla,AIA,,
120,eez,Antigua and Barbuda,ATG,,
172,eez,Argentina,ARG,,
250,eez,Aruba,ABW,,
85,eez,Ascension,ASC,,x
16,eez,Australia,AUS,,
55,eez,Azores,AZO,yes,
110,eez,Bahamas,BHS,,
52,eez,Bahrain,BHR,,
204,eez,Bangladesh,BGD,,
124,eez,Barbados,BRB,,
34,eez,Bassas da India,BDA,yes,x
59,eez,Belgium,BEL,,
164,eez,Belize,BLZ,,
99,eez,Benin,BEN,,
108,eez,Bermuda,BMU,,
245,eez,Bonaire,BON,yes,
232,eez,Bosnia and Herzegovina,BIH,,
105,eez,Bouvet Island,BVT,,x
171,eez,Brazil,BRA,,
38,eez,British Indian Ocean Territory,IOT,,x
117,eez,British Virgin Islands,VGB,,
247,eez,Brunei,BRN,,
71,eez,Bulgaria,BGR,,
24,eez,Cambodia,KHM,,
197,eez,Cameroon,CMR,,
218,eez,Canada,CAN,,
58,eez,Canary Islands,CNY,yes,
56,eez,Cape Verde,CPV,,
113,eez,Cayman Islands,CYM,,
224,eez,Chile,CHL,,
209,eez,China,CHN,,
2,eez,Christmas Island,CXR,,
107,eez,Clipperton Island,CLP,yes,x
1,eez,Cocos Islands,CCK,,
132,eez,Colombia,COL,,
28,eez,Comoro Islands,COM,,
153,eez,Cook Islands,COK,,
130,eez,Costa Rica,CRI,,
187,eez,Croatia,HRV,,
91,eez,Crozet Islands,CIS,yes,x
112,eez,Cuba,CUB,,
244,eez,Curacao,CUW,,
81,eez,Cyprus,CYP,,
199,eez,Democratic Republic of the Congo,COD,,
175,eez,Denmark,DNK,,
46,eez,Djibouti,DJI,,
123,eez,Dominica,DMA,,
115,eez,Dominican Republic,DOM,,
231,eez,East Timor,TLS,,
137,eez,Ecuador,ECU,,
214,eez,Egypt,EGY,,
134,eez,El Salvador,SLV,,
104,eez,Equatorial Guinea,GNQ,,
45,eez,Eritrea,ERI,,
70,eez,Estonia,EST,,
141,eez,Faeroe Islands,FRO,,
95,eez,Falkland Islands,FLK,,
18,eez,Fiji,FJI,,
174,eez,Finland,FIN,,
179,eez,France,FRA,,
169,eez,French Guiana,GUF,,
147,eez,French Polynesia,PYF,,
198,eez,Gabon,GAB,,
65,eez,Gambia,GMB,,
74,eez,Georgia,GEO,,
176,eez,Germany,DEU,,
106,eez,Ghana,GHA,,
30,eez,Glorioso Islands,GIS,yes,x
80,eez,Greece,GRC,,
145,eez,Greenland,GRL,,
125,eez,Grenada,GRD,,
140,eez,Guadeloupe and Martinique,GMF,yes,
136,eez,Guatemala,GTM,,
228,eez,Guernsey,GGY,,
194,eez,Guinea,GIN,,
193,eez,Guinea Bissau,GNB,,
167,eez,Guyana,GUY,,
114,eez,Haiti,HTI,,
94,eez,Heard and McDonald Islands,HMD,,x
133,eez,Honduras,HND,,
158,eez,Howland Island and Baker Island,HIS,yes,x
143,eez,Iceland,ISL,,
35,eez,Ile Europa,ILE,yes,x
36,eez,Ile Tromelin,ILT,yes,x
203,eez,India,IND,,
216,eez,Indonesia,IDN,,
191,eez,Iran,IRN,,
192,eez,Iraq,IRQ,,
181,eez,Ireland,IRL,,
79,eez,Israel,ISR,,
184,eez,Italy,ITA,,
195,eez,Ivory Coast,CIV,,
166,eez,Jamaica,JAM,,
144,eez,Jan Mayen,SJM,yes,x
210,eez,Japan,JPN,,
149,eez,Jarvis Island,JIS,yes,x
159,eez,Johnston Atoll,JAT,yes,x
215,eez,Jordan,JOR,,
33,eez,Juan de Nova Island,JDN,yes,x
43,eez,Kenya,KEN,,
93,eez,Kerguelen Islands,KIS,yes,x
212,eez,Kiribati,KIR,,
51,eez,Kuwait,KWT,,
69,eez,Latvia,LVA,,
78,eez,Lebanon,LBN,,
97,eez,Liberia,LBR,,
67,eez,Libya,LBY,,
148,eez,Line Group,LIG,yes,
189,eez,Lithuania,LTU,,
4,eez,Macquarie Island,MCQ,yes,x
42,eez,Madagascar,MDG,,
57,eez,Madeira,MDR,yes,
206,eez,Malaysia,MYS,,
39,eez,Maldives,MDV,,
68,eez,Malta,MLT,,
11,eez,Marshall Islands,MHL,,
64,eez,Mauritania,MRT,,
37,eez,Mauritius,MUS,,
29,eez,Mayotte,MYT,,
135,eez,Mexico,MEX,,
9,eez,Micronesia,FSM,yes,
186,eez,Montenegro,MNE,,
121,eez,Montserrat,MSR,,
62,eez,Morocco,MAR,,
41,eez,Mozambique,MOZ,,
205,eez,Myanmar,MMR,,
101,eez,Namibia,NAM,,
10,eez,Nauru,NRU,,
177,eez,Netherlands,NLD,,
5,eez,New Caledonia,NCL,,
162,eez,New Zealand,NZL,,
131,eez,Nicaragua,NIC,,
196,eez,Nigeria,NGA,,
154,eez,Niue,NIU,,
3,eez,Norfolk Island,NFK,,
21,eez,North Korea,PRK,,
13,eez,Northern Mariana Islands and Guam,NGM,yes,
223,eez,Norway,NOR,,
48,eez,Oman,OMN,,
53,eez,Pakistan,PAK,,
8,eez,Palau,PLW,,
150,eez,Palmyra Atoll,PAT,yes,x
129,eez,Panama,PAN,,
17,eez,Papua New Guinea,PNG,,
138,eez,Peru,PER,,
15,eez,Philippines,PHL,,
157,eez,Phoenix Group,PHG,yes,
146,eez,Pitcairn,PCN,,
178,eez,Poland,POL,,
183,eez,Portugal,PRT,,
90,eez,Prince Edward Islands,PEI,yes,x
116,eez,Puerto Rico and Virgin Islands of the United States,PRV,yes,
190,eez,Qatar,QAT,,
100,eez,Republique du Congo,COG,,
32,eez,Reunion,REU,,
72,eez,Romania,ROU,,
73,eez,Russia,RUS,,
248,eez,Saba,SAB,yes,
86,eez,Saint Helena,SHN,,
119,eez,Saint Kitts and Nevis,KNA,,
122,eez,Saint Lucia,LCA,,
219,eez,Saint Pierre and Miquelon,SPM,,
127,eez,Saint Vincent and the Grenadines,VCT,,
152,eez,Samoa,WSM,,
103,eez,Sao Tome and Principe,STP,,
50,eez,Saudi Arabia,SAU,,
66,eez,Senegal,SEN,,
31,eez,Seychelles,SYC,,
96,eez,Sierra Leone,SLE,,
188,eez,Slovenia,SVN,,
7,eez,Solomon Islands,SLB,,
44,eez,Somalia,SOM,,
102,eez,South Africa,ZAF,,
89,eez,South Georgia and the South Sandwich Islands,SGS,,x
20,eez,South Korea,KOR,,
182,eez,Spain,ESP,,
40,eez,Sri Lanka,LKA,,
49,eez,Sudan,SDN,,
168,eez,Suriname,SUR,,
222,eez,Sweden,SWE,,
77,eez,Syria,SYR,,
14,eez,Taiwan,TWN,,
202,eez,Tanzania,TZA,,
25,eez,Thailand,THA,,
98,eez,Togo,TGO,,
156,eez,Tokelau,TKL,,
155,eez,Tonga,TON,,
126,eez,Trinidad and Tobago,TTO,,
88,eez,Tristan da Cunha,TAA,yes,x
61,eez,Tunisia,TUN,,
76,eez,Turkey,TUR,,
111,eez,Turks and Caicos Islands,TCA,,
19,eez,Tuvalu,TUV,,
75,eez,Ukraine,UKR,,
54,eez,United Arab Emirates,ARE,,
180,eez,United Kingdom,GBR,,
163,eez,United States,USA,,
173,eez,Uruguay,URY,,
6,eez,Vanuatu,VUT,,
139,eez,Venezuela,VEN,,
207,eez,Vietnam,VNM,,
12,eez,Wake Island,WIS,yes,x
161,eez,Wallis and Futuna,WLF,,
63,eez,Western Sahara,ESH,,
47,eez,Yemen,YEM,,
213,eez-ccamlr,Antarctica,ATA,,
260,fao,Arctic Sea,NA,,
264,fao,"Atlantic, Eastern Central",NA,,
262,fao,"Atlantic, Northeast",NA,,
261,fao,"Atlantic, Northwest",NA,,
267,fao,"Atlantic, Southeast",NA,,
266,fao,"Atlantic, Southwest",NA,,
263,fao,"Atlantic, Western-Central",NA,,
270,fao,"Indian Ocean, Eastern",NA,,
269,fao,"Indian Ocean, Western",NA,,
275,fao,"Pacific, Eastern Central",NA,,
273,fao,"Pacific, Northeast",NA,,
272,fao,"Pacific, Northwest",NA,,
277,fao,"Pacific, Southeast",NA,,
276,fao,"Pacific, Southwest",NA,,
274,fao,"Pacific, Western Central",NA,,
255,NA,NA,DIS,yes,