names,sizes,lats,lons,SP_ID,```````
multinational-CCAMLR-RS,301199.4703,-75.050354,-174.7159055,42,
multinational-CCSBT-SO,177431305.6,-70.83308082,5.919448052,43,
Australia-AFMA-SE,248434.1371,-54.72305437,158.8620829,5,
Australia-AFMA-MI,247030.733,-54.72305,158.86208,134,
New Zealand-MFish-CIR,222086.2033,-53.13229568,171.271877,139,
New Zealand-MFish-SA,1569304.799,-50.20400055,168.2988289,,
Argentina-CFP-ARG-S,2926839.658,-49.99875294,-59.27544464,2,
New Zealand-MFish-LIN5-6,3639637.21,-49.99291804,169.8264943,,
New Zealand-MFish-CRA8,944064.8524,-49.58243348,166.97978,,
New Zealand-MFish-LIN6b,1036123504,-49.4475332,178.0178494,,
New Zealand-MFish-SA,958507.6563,-49.33683584,177.9321525,,
New Zealand-MFish-LIN6b,5321912.206,-48.67975828,-177.5019542,,
New Zealand-MFish-NZ,237332631.6,-48.67308997,178.9289648,,
New Zealand-MFish-LIN5-6,2816287722,-48.60519504,-177.5952018,,
New Zealand-MFish-SA,1663035450,-48.2527133,-178.0207983,,
New Zealand-MFish-PAU5B,60018.03203,-47.10866662,167.3937211,,
South Africa-DETMCM-PEI,120904.6375,-46.87915123,37.20312941,164,
South Africa-DETMCM-SA,125388.3983,-46.87915123,37.20312941,164,
New Zealand-MFish-CRA7,0.174274908,-46.65398869,169.0288958,,
New Zealand-MFish-PAU5D,0.174274908,-46.65398869,169.0288958,,
New Zealand-MFish-CRA7,0.013621807,-46.64213893,169.1415197,,
New Zealand-MFish-PAU5D,0.013621807,-46.64213893,169.1415197,,
New Zealand-MFish-CRA7,5.585415071,-46.62274441,169.1471873,,
New Zealand-MFish-PAU5D,5.585415071,-46.62274441,169.1471873,,
New Zealand-MFish-CRA7,84808.36182,-46.54719953,171.8975477,137,
New Zealand-MFish-PAU5D,31332.37259,-45.99054429,171.1999193,,
New Zealand-MFish-PAU5A,56680.99238,-45.65469878,166.3900749,,
New Zealand-MFish-CRA5,142859.6534,-44.38081683,174.6607623,136,
New Zealand-MFish-NZ,169863103.4,-44.25953479,-176.2830854,,
New Zealand-MFish-CR,370592062.7,-44.13211004,176.3866437,,
New Zealand-MFish-WECR,224437.8893,-44.09077915,176.537986,,
New Zealand-MFish-WNZ,812793.0698,-44.087585,169.453125,155,
New Zealand-MFish-WECR,2052604868,-44.0833335,-179.75,,
New Zealand-MFish-CR,54627755.14,-44.08292956,-175.8740286,,
Australia-AFMA-CASCADE,271.3189913,-43.925,150.46,3,
New Zealand-MFish-LIN3-4,166320674.5,-43.8947295,175.6933595,141,
New Zealand-MFish-LIN3-4,109599564.2,-43.8947295,-176.220703,,
New Zealand-MFish-NZ,1462965379,-42.89817385,171.6077845,,
multinational-WCPFC-SPAC,10271632277,-42.56857691,164.9266645,,
New Zealand-MFish-LIN7WC-WCSI,203792.973,-42.50706972,167.4456723,145,
Australia-AFMA-TAS,581886.7055,-42.032974,146.601563,10,
New Zealand-MFish-PAU7,19796.71854,-41.84891466,174.0099209,,
New Zealand-MFish-CRA4,76450.2608,-41.60896062,176.2907438,,
New Zealand-MFish-TRE7,309307.4834,-41.55517016,168.3641633,153,
New Zealand-MFish-NZMEC,12495862.37,-41.0178301,177.4385257,,
New Zealand-MFish-CRA3,1460525.277,-40.95526511,178.7073076,,
New Zealand-MFish-NZMEC,749138044.8,-40.75860436,-177.353452,,
New Zealand-MFish-PAU7,124.4907592,-40.603809,172.096787,,
New Zealand-MFish-LIN72,13401381.84,-40.20565462,172.0686728,,
New Zealand-MFish-CRA3,2620295488,-39.63011198,-178.765772,,
New Zealand-MFish-LIN72,1531653807,-39.44175079,-178.1401667,,
New Zealand-MFish-8,66238.38426,-39.17337137,173.2824597,,
multinational-SPRFMO-CH,8442119.602,-38.87234441,-79.31278049,126,
New Zealand-MFish-ENZ,24951032.05,-38.13037723,175.7515632,,
New Zealand-MFish-ENZ,20607133.37,-38.07005358,-179.5106111,,
Australia-AFMA-ESE,894716.0598,-37.71859,150.556641,4,
Australia-AFMA-WSE,1232722.388,-36.879621,138.691406,12,
Argentina-CFP-ARG-N,979766.4422,-36.330473,-56.92657829,1,
New Zealand-MFish-CRA2,479133.7014,-36.06934338,177.7457697,,
New Zealand-MFish-CRA2,3452888274,-36.06388184,-178.9950226,,
Australia-AFMA-GAB,2557953.963,-35.746512,131.308594,7,
Australia-AFMA-GAB-SESSF,2557953.963,-35.746512,131.308594,7,
Australia-AFMA-SESSF,3056003.419,-35.27399027,157.2789413,9,
South Africa-DETMCM-8,69156.59873,-35.025,17.75,163,
South Africa-DETMCM-SASC,2387619.914,-34.32759512,27.53108225,166,
New Zealand-MFish-CRA1,397659.9321,-33.62935874,172.6568485,,
multinational-WCPFC-SPAC,2490903439,-33.54597016,-116.2472438,,
South Africa-DETMCM-7,9029.332979,-33.425,17.25,162,
South Africa-DETMCM-5-6,19468.01615,-32.875,17.25,161,
Australia-AFMA-SE,4788688.719,-32.85385942,144.5700144,,
South Africa-DETMCM-3-4,32800.68366,-31.875,17.25,160,
multinational-IATTC-EPAC,5449027472,-31.18548171,-154.9193544,,
New Zealand-MFish-NZ,682489789.1,-30.34646104,-178.4421865,,
South Africa-DETMCM-1-2,58895.29111,-29.875,17,,
multinational-ICCAT-SATL,303470.5558,-29.51926632,-17.6658515,,
South Africa-DETMCM-SA,2961424.188,-29.09901999,25.19133466,,
Australia-AFMA-SE,392817.2855,-29.06889873,167.9714045,,
South Africa-DETMCM-SA,172625.809,-23.0423815,14.45389484,,
New Zealand-MFish-NZ,476710827.1,-19.0758276,-169.8607025,,
Australia-AFMA-NAUST,8365058.814,-17.24249497,133.1791899,8,
multinational-IOTC-IO,27808970.89,-15.24566755,80.65297587,113,
New Zealand-MFish-NZ,1065515298,-10.13080728,-168.5302574,,
Peru-IMARPE-NC,2592118.639,-6.111743932,-79.14492848,156,
multinational-SPC-WPO,6042832.904,2.704641036,-124.646169,125,
multinational-ICCAT-WATL,5455157.681,12.18733842,-52.42671235,,
multinational-IATTC-EPAC,305872897.6,14.7382194,144.9177425,,
USA-NMFS-GM,2492811.175,24.95019226,-91.61538672,191,
USA-NMFS-WGM,1148392.171,24.96686456,-93.16255544,215,
USA-NMFS-SATLCGM,2901850.867,25.90009652,-89.84979195,206,
multinational-ICCAT-EATL,15796049.59,27.24783143,-6.057879385,,
USA-NMFS-EGM,1000200.15,27.54161236,-87.61466157,189,
USA-NMFS-WATL,8687825.464,29.6749654,-67.17942792,214,
USA-NMFS-SATL,564205.8738,31.08629898,-78.64079802,204,
USA-NMFS-SATLC,392948.05,31.55210006,-79.34436703,205,
USA-US State-ROSS,487.8973878,32.479646,-90.009613,224,
USA-US State-OKA,62.13108312,32.514394,-88.80249,221,
USA-US State-ATKINS,0.098165408,33.5984422,-92.0468047,216,
USA-NMFS-SCAL,205758.948,33.75,-121,207,
USA-NMFS-SPCOAST,205758.948,33.75,-121,213,
USA-NMFS-ATL,4054863.087,34.74496007,-65.83001058,176,
USA-US State-NIMROD,38.64444281,34.949554,-93.218307,220,
USA-NMFS-CAL,1426281.544,35.11213606,-118.3455218,181,
USA-NMFS-ATLC,1236599.211,35.69933702,-75.55350373,177,
USA-NMFS-5YCHATT,190895.4141,36.04190988,-74.62537081,,
multinational-ICCAT-MED,5425902.46,37.04450386,15.86180948,49,
USA-NMFS-SNEMATL,1698215.738,37.68118081,-62.49940704,211,
USA-NMFS-MATLC,499319.8353,38.01699476,-74.36496483,193,
USA-NMFS-CWPAC,428462.2813,38.25,-125.0263104,184,
USA-NMFS-SGBMATL,317998.599,38.38668437,-67.70773189,208,
USA-NMFS-SNEMATLB,685300.3863,38.75835934,-72.77718015,212,
multinational-ICES-IXa,350955.7345,39.40978642,-8.35298191,80,
multinational-ICES-IXb,468251.6018,39.50000002,-14.49999994,81,
USA-NMFS-NCAL,173214.9847,39.536355,-123.1555175,195,
USA-NMFS-PCOAST,3280204.496,39.54385506,-120.4811372,202,
Canada-DFO-5Zejm,92252.99115,40.5,-68,31,
Canada-DFO-5Zjm,92252.99115,40.5,-68,32,
multinational-TRAC-5Z,185087.677,40.66511397,-68.69347306,127,
USA-NMFS-5Z,185087.677,40.66511397,-68.69347306,171,
USA-NMFS-5ZSNE,185087.677,40.66511397,-68.69347306,172,
multinational-ICES-VIIIc-IXa,501309.1486,40.69372539,-7.691941853,104,
USA-US State-RI,5517.53299,41.664705,-71.499023,223,
Iran-Iran-CS,885906.371,41.6796365,51.053467,41,
Canada-DFO-4VsW,570919.8775,41.86429639,-58.22443406,24,
USA-NMFS-5YZ,296038.3421,41.86809292,-68.89452178,169,
USA-NMFS-5YZSNE,296038.3421,41.86809292,-68.89452178,170,
USA-NMFS-NATL,282184.4092,41.87758908,-69.02569936,194,
multinational-ICES-X,2748029.671,42.00000002,-29.99999997,109,
USA-NMFS-SNE,82497.95747,42.25,-71,210,
Canada-DFO-4VWX5,1076914.466,42.26554243,-62.3913864,26,
Canada-DFO-4VWX,816560.0492,42.40510117,-60.10790284,25,
Canada-DFO-4X5YZ,513356.77,42.41342073,-67.29744766,30,
Canada-DFO-4VWX5Zc,944469.1933,42.55679459,-61.26612162,27,
USA-US State-SPRI,2.170686193,42.674863,-121.891766,230,
multinational-IATTC-NEPAC,2915545638,42.7144482,138.8240608,,
multinational-GFCMED-BLACKW,366950.7559,42.747012,37.880859,44,
multinational-NAFO-3NO,426852.9987,42.92247082,-50.00756489,123,
multinational-IPHC-NPAC,1624221371,43,150,,
multinational-IPHC-NPAC,2040652788,43,-142.5,128,
multinational-UNKNOWN-NWPAC,29420869.85,43,-142.5,128,
Canada-DFO-4X,218105.5081,43.14260299,-65.16192825,28,
multinational-IATTC-NEPAC,286187332.6,43.25,-177.4999995,,
Canada-DFO-4X5Y,329639.8875,43.36085965,-66.54091636,29,
multinational-ICES-VIIIc,150419.8922,43.57245071,-6.209820977,103,
multinational-NAFO-3O,140834.0993,43.66226012,-52.54620563,124,
USA-NMFS-5Y,111362.4698,43.78405197,-69.21472781,167,
USA-NMFS-5YCHATT,111231.2964,43.78405197,-69.21472781,183,
USA-NMFS-CCOD5Y,111362.4698,43.78405197,-69.21472781,192,
USA-NMFS-GOMNGB,111362.4698,43.78405197,-69.21472781,192,
USA-NMFS-ORECOAST,74852.95016,44.097521,-124.40506,201,
multinational-NAFO-3M,409463.6946,44.125,-44.24999999,122,
multinational-NAFO-3LNO,634235.7612,44.56003504,-50.12539167,121,
multinational-ICES-VIIIb,65317.93901,44.71864843,-1.538891272,102,
multinational-NAFO-3LN,493132.4232,44.81211345,-49.44567238,120,
USA-US State-HUNT,0.524013067,44.860052,-84.153192,217,
multinational-ICCAT-NATL,30679181.61,45.36173965,-29.63133089,,
multinational-ICES-VIII,797685.0682,45.39547731,-9.071971656,100,
multinational-ICES-VIIIe,305294.1855,45.50000003,-14.49999994,106,
multinational-ICES-VIIId,181918.9956,45.99418607,-7.709302268,105,
Canada-DFO-4Vn,35667.52135,46.38868604,-59.58481164,23,
Canada-DFO-3Ps,125784.4446,46.5016069,-55.89201351,18,
USA-NMFS-NWATL,6452799.28,46.62050917,-57.40653314,198,
multinational-ICES-VIIIa,88258.75005,47.14714903,-3.533593508,101,
USA-US State-MIN,2.882062822,47.36935,-122.697458,219,
Canada-DFO-4TVn,399488.256,47.41172554,-66.86979848,22,
USA-US State-TAYU,127.91432,47.45,-124,231,
Canada-DFO-4T,364841.7353,47.50994163,-67.56918782,21,
USA-NMFS-NWATLC,3438640.439,47.5196484,-61.80140468,,
USA-US State-WILD,71.75260888,47.601996,-124.285583,232,
multinational-NAFO-3L,208594.4917,47.62717992,-50.3460803,119,
USA-US State-SHAL,127.4722697,47.6378593,-124.2526924,225,
USA-NMFS-NPCOAST,1206542.788,47.75,-125,197,
USA-US State-SKY,7.950214378,47.755021,-121.46347,227,
USA-US State-SNAH,49.67544459,47.761389,-124.133333,228,
multinational-ICES-VIIh,0.015404412,47.99975685,-4.566376864,,
Canada-DFO-ATL,3170956.868,48.33974202,-53.93647274,33,
USA-US State-SNOW,1.965166606,48.345411,-124.552517,229,
USA-US State-KAB,195.9665768,48.472921,-92.991028,218,
multinational-ICES-VIIh,57088.7035,48.89285717,-7.142857093,99,
Canada-DFO-2J3KLNOPs,1558190.894,48.97045059,-51.73920394,15,
Canada-DFO-3Pn4RSTVn,914001.1082,49.09668749,-65.87667069,17,
Canada-DFO-4RST,867304.4329,49.22465711,-66.22073565,20,
Canada-DFO-SOG,19259.70899,49.353756,-123.859863,39,
multinational-ICES-VIIe,94164.72404,49.57713176,-3.357185797,94,
Canada-DFO-WCVANI,78771.0999,49.639177,-126.694336,40,
Canada-DFO-4R,70600.39757,49.81410868,-58.02010413,19,
multinational-ICES-VIIe-k,559099.5753,50.13469669,-10.02536076,95,
multinational-ICES-VIIj,106942.3658,50.24823075,-10.50106196,107,
multinational-ICES-VIIk,213121.8147,50.25000003,-14.99999995,108,
multinational-NAFO-23KLMNO,2280158.04,50.31982778,-51.87513516,118,
multinational-ICES-VIId,74115.50837,50.33789884,-0.253078326,93,
Canada-DFO-3Pn4RS,505996.7475,50.37879559,-65.12098763,16,
multinational-ICES-VIIb-k,776546.9427,50.8092813,-9.717511678,91,
multinational-ICES-VIIf,34478.75108,51.04136491,-4.519181872,96,
multinational-ICES-VIIf-g,85512.98259,51.09976454,-6.156720348,97,
multinational-ICES-VIIg,50944.73719,51.13926117,-7.264214257,98,
Canada-DFO-2J3KL,1010322.521,51.43478891,-51.89143449,14,
USA-NMFS-BB,74841.97637,52.05249,-173.496094,178,
multinational-ICES-IVc,197903.0651,52.19115926,3.839835057,79,
Canada-DFO-PCOAST,1091925.627,52.25399535,-126.9653868,,
Canada-DFO-CC,74251.42792,52.375599,-129.023437,34,
Canada-DFO-QCI,17951.95199,52.683043,-131.791992,38,
USA-NMFS-NPAC,10811934.67,52.91417754,-147.615982,196,
Canada-DFO-HS,39968.97555,53.120405,-130.825195,35,
Canada-DFO-PRD,115649.5,53.120405,-130.825195,37,
multinational-ICES-VIIa,134226.4283,53.46102084,-4.981035325,89,
USA-NMFS-AI,331066.6437,53.5,-167.5,173,
USA-NMFS-AIES,165872.2027,53.5,-163.75,174,
USA-NMFS-AIWS,165845.4409,53.5,-171.25,175,
multinational-ICES-VIIc,88535.41511,53.50000003,-14.9999997,92,
multinational-ICES-VIIb,52720.72692,53.53986786,-10.20387072,90,
multinational-ICES-IIIa-IV-VI-VII-VIIIabd,2860037.283,54.13960642,-3.859190045,70,
multinational-ICES-XII,2087017.915,54.28787881,-29.04545443,110,
Canada-DFO-23K,1229897.743,54.39832518,-54.66008441,13,
multinational-NAFO-23K,1229897.743,54.39832518,-54.66008441,117,
multinational-ICES-22-24,98290.05966,54.74619977,12.0642166,52,
multinational-ICES-IIIc(22),47944.96816,54.83832209,10.61525391,72,
multinational-ICES-IVb,376666.9582,55.39792942,3.400788265,78,
multinational-ICES-IIIb(23),5693.370781,55.73294251,12.57227815,71,
multinational-ICES-VIa-VIIb-VIIc,428935.6207,56.12362336,-9.740717555,87,
multinational-ICES-IIIa-IV-VIId,1137732.882,56.47361201,3.670263756,69,
multinational-ICES-IV,921660.7109,56.57602282,2.876329073,76,
USA-NMFS-PI,153068.7253,56.824933,-169.980469,203,
multinational-ICES-IIIa-IV,1066015.048,56.84083317,3.905074967,67,
multinational-ICES-IIIa-IV-VI,1580337.84,56.9823696,-1.010098186,68,
multinational-ICES-22-24-IIIa,239627.8431,57.03619457,10.98935743,53,
USA-US State-SITKA,16106.79482,57.053,-135.33,226,
multinational-ICES-VIb,221240.6859,57.25000003,-14.99999996,88,
multinational-ICES-VIa,285870.6118,57.29357026,-8.183378234,86,
multinational-ICES-28,84997.58921,57.46396064,21.71148894,56,
USA-NMFS-CBS,2427311.329,57.60622499,-177.3412793,,
USA-NMFS-CBS,31387794.15,57.61211343,178.9258323,,
USA-NMFS-BSAI,1139032631,57.62394099,176.2595436,,
USA-NMFS-BS,12026156.94,57.63772484,-175.412729,,
USA-NMFS-BS,591734700.9,57.64069305,177.0110025,,
USA-NMFS-BSAI,14907130.08,57.6457132,-174.6586731,,
USA-NMFS-EBSAIGA,4196827.204,57.87398501,-152.5572541,185,
USA-NMFS-EBSAI,1539692.443,57.9215327,-167.5377405,186,
USA-NMFS-GA,819151.1141,57.984808,-146.689453,190,
multinational-ICES-IIIa,141326.2462,58.48888788,10.30750403,66,
Russia-RFFA-WBS,1540188456,58.813742,-179.2206937,,
Russia-RFFA-WBS,1604096.192,58.813742,174.2034231,,
Russia-RFFA-NSO,783975.8493,59.534318,149.414063,157,
multinational-ICES-29,73468.61374,59.6300794,20.41857951,57,
multinational-ICES-IVa,347372.072,59.77244902,1.916428832,77,
multinational-ICES-32,115565.0482,59.91670427,26.75654705,60,
USA-NMFS-EBSGA,2710607.722,60.12421577,-152.5801622,188,
USA-NMFS-EBS,1032737.831,60.17205048,-167.5527163,187,
USA-NMFS-SMI,247659.0239,60.408611,-172.72,209,
USA-US State-PWS,14542.21052,60.615,-147.168,222,
multinational-ICES-Vb2,20852.82645,60.77424246,-8.842424188,85,
multinational-ICES-22-32,1104398.012,61.16120082,21.49965173,54,
multinational-ICES-IIId,1050714.234,61.42742635,21.95601058,73,
multinational-ICES-Vb,193896.9988,61.51923081,-9.576922995,83,
multinational-ICES-Vb1,173339.7842,61.60734771,-9.663799197,84,
multinational-ICES-25-32,1002954.612,61.67960043,22.2621342,55,
multinational-ICES-30,234862.4889,62.1718234,23.00291206,58,
USA-NMFS-NS,29408.04561,63.849,-164.269,200,
multinational-ICES-XIVb,986213.7306,64.37549041,-35.52958528,112,
multinational-ICES-Va,485299.5121,65.1086957,-19.26086952,82,
multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,12511628,65.56759677,-13.16996779,,
multinational-ICES-31,295785.9723,65.9093204,23.15989325,59,
multinational-ICES-IIa,1842410.535,67.89937231,6.290675897,62,
multinational-NAFO-1,1884393.369,69.27345266,-52.53917775,116,
multinational-NAFO-01ABCDEF,2732739.323,69.30258938,-57.45816899,115,
multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,16398012.67,70.38145293,5.299037095,75,
multinational-ICES-II-IIIa-IV-VI-VII-VIIIabc,5829994.54,70.73851076,5.134801977,74,
multinational-ICES-I-II,5748032.604,76.91668814,26.35622985,65,
multinational-ICES-I,2566804.127,77.14211019,46.77974726,61,
multinational-ICES-XIVa,1403557.396,79.36907373,-25.20485162,111,
multinational-ICES-IIb,1186420.415,81.75000004,9.500000066,64,